Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,FarePerPerson,Survived
3,1,26.0,1,2,20.575,0,4,0,5.14,0
3,1,59.0,0,0,7.25,0,1,1,7.25,0
3,1,28.0,0,0,8.05,0,1,1,8.05,0
1,1,71.0,0,0,34.6542,1,1,1,34.65,0
1,1,23.0,0,1,63.3583,1,2,0,31.68,1
2,0,34.0,0,1,23.0,0,2,0,11.5,1
2,1,34.0,1,0,26.0,0,2,0,13.0,0
3,0,28.0,0,0,7.8958,0,1,1,7.9,0
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
1,1,21.0,0,1,77.2875,0,2,0,38.64,0
3,1,33.0,0,0,8.6542,0,1,1,8.65,0
3,1,37.0,2,0,7.925,0,3,0,2.64,0
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
3,0,21.0,0,0,7.65,0,1,1,7.65,1
3,1,28.0,0,0,7.775,0,1,1,7.78,1
3,1,38.0,0,0,7.8958,0,1,1,7.9,0
3,0,28.0,1,0,24.15,2,2,0,12.08,1
1,1,47.0,0,0,52.0,0,1,1,52.0,0
3,0,14.5,1,0,14.4542,1,2,0,7.23,0
3,1,22.0,0,0,8.05,0,1,1,8.05,0
3,0,20.0,1,0,9.825,0,2,0,4.91,0
3,0,17.0,0,0,14.4583,1,1,1,14.46,0
3,1,21.0,0,0,7.925,0,1,1,7.92,0
3,1,70.5,0,0,7.75,2,1,1,7.75,0
2,1,29.0,1,0,21.0,0,2,0,10.5,0
1,1,24.0,0,1,247.5208,1,2,0,123.76,0
3,0,2.0,4,2,31.275,0,7,0,4.47,0
2,1,21.0,2,0,73.5,0,3,0,24.5,0
3,1,28.0,0,0,8.05,0,1,1,8.05,0
2,1,32.5,1,0,30.0708,1,2,0,15.04,0
2,0,32.5,0,0,13.0,0,1,1,13.0,1
1,1,54.0,0,1,77.2875,0,2,0,38.64,0
3,1,12.0,1,0,11.2417,1,2,0,5.62,1
3,1,28.0,0,0,7.75,2,1,1,7.75,0
3,1,24.0,0,0,7.1417,0,1,1,7.14,1
3,0,28.0,1,1,22.3583,1,3,0,7.45,1
3,1,45.0,0,0,6.975,0,1,1,6.98,0
3,1,33.0,0,0,7.8958,1,1,1,7.9,0
3,1,20.0,0,0,7.05,0,1,1,7.05,0
3,0,47.0,1,0,14.5,0,2,0,7.25,0
2,0,29.0,1,0,26.0,0,2,0,13.0,1
2,1,25.0,0,0,13.0,0,1,1,13.0,0
2,1,23.0,0,0,15.0458,1,1,1,15.05,0
1,0,19.0,0,2,26.2833,0,3,0,8.76,1
1,1,37.0,1,0,53.1,0,2,0,26.55,0
3,1,16.0,0,0,9.2167,0,1,1,9.22,0
1,1,24.0,0,0,79.2,1,1,1,79.2,0
3,0,28.0,0,2,15.2458,1,3,0,5.08,0
3,0,22.0,0,0,7.75,0,1,1,7.75,1
3,0,24.0,1,0,15.85,0,2,0,7.92,1
3,1,19.0,0,0,6.75,2,1,1,6.75,0
2,1,18.0,0,0,11.5,0,1,1,11.5,0
2,1,19.0,1,1,36.75,0,3,0,12.25,0
3,1,27.0,0,0,7.7958,0,1,1,7.8,1
3,0,9.0,2,2,34.375,0,5,0,6.88,0
2,1,36.5,0,2,26.0,0,3,0,8.67,0
2,1,42.0,0,0,13.0,0,1,1,13.0,0
2,1,51.0,0,0,12.525,0,1,1,12.52,0
1,0,22.0,1,0,66.6,0,2,0,33.3,1
3,1,55.5,0,0,8.05,0,1,1,8.05,0
3,1,40.5,0,2,14.5,0,3,0,4.83,0
3,1,28.0,0,0,7.3125,0,1,1,7.31,0
1,1,51.0,0,1,61.3792,1,2,0,30.69,0
3,0,16.0,0,0,7.7333,2,1,1,7.73,1
3,1,30.0,0,0,8.05,0,1,1,8.05,0
3,1,28.0,0,0,8.6625,0,1,1,8.66,0
3,1,28.0,8,2,69.55,0,11,0,6.32,0
3,1,44.0,0,1,16.1,0,2,0,8.05,0
2,0,40.0,0,0,15.75,0,1,1,15.75,1
3,1,26.0,0,0,7.775,0,1,1,7.78,0
3,1,17.0,0,0,8.6625,0,1,1,8.66,0
3,1,1.0,4,1,39.6875,0,6,0,6.61,0
3,1,9.0,0,2,20.525,0,3,0,6.84,1
1,0,28.0,0,1,55.0,0,2,0,27.5,1
3,0,45.0,1,4,27.9,0,6,0,4.65,0
1,1,28.0,0,0,25.925,0,1,1,25.92,0
3,1,28.0,0,0,56.4958,0,1,1,56.5,0
1,1,61.0,0,0,33.5,0,1,1,33.5,0
3,1,4.0,4,1,29.125,2,6,0,4.85,0
3,0,1.0,1,1,11.1333,0,3,0,3.71,1
3,1,21.0,0,0,7.925,0,1,1,7.92,0
1,1,56.0,0,0,30.6958,1,1,1,30.7,0
3,1,18.0,1,1,7.8542,0,3,0,2.62,0
3,1,28.0,3,1,25.4667,0,5,0,5.09,0
1,0,50.0,0,0,28.7125,1,1,1,28.71,0
2,1,30.0,0,0,13.0,0,1,1,13.0,0
3,1,36.0,0,0,0.0,0,1,1,0.0,0
3,0,28.0,8,2,69.55,0,11,0,6.32,0
2,1,28.0,0,0,15.05,1,1,1,15.05,0
3,1,9.0,4,2,31.3875,0,7,0,4.48,0
2,1,1.0,2,1,39.0,0,4,0,9.75,1
3,0,4.0,0,2,22.025,0,3,0,7.34,1
1,1,28.0,0,0,50.0,0,1,1,50.0,0
3,0,28.0,1,0,15.5,2,2,0,7.75,1
1,1,45.0,0,0,26.55,0,1,1,26.55,1
3,1,40.0,1,1,15.5,2,3,0,5.17,0
3,1,36.0,0,0,7.8958,0,1,1,7.9,0
2,0,32.0,0,0,13.0,0,1,1,13.0,1
2,1,19.0,0,0,13.0,0,1,1,13.0,0
3,0,19.0,1,0,7.8542,0,2,0,3.93,1
2,1,3.0,1,1,26.0,0,3,0,8.67,1
1,0,44.0,0,0,27.7208,1,1,1,27.72,1
1,0,58.0,0,0,146.5208,1,1,1,146.52,1
3,1,28.0,0,0,7.75,2,1,1,7.75,0
3,1,42.0,0,1,8.4042,0,2,0,4.2,0
3,0,28.0,0,0,7.75,2,1,1,7.75,1
2,0,24.0,0,0,13.0,0,1,1,13.0,0
3,1,28.0,0,0,9.5,0,1,1,9.5,0
3,1,28.0,8,2,69.55,0,11,0,6.32,0
3,1,34.0,0,0,6.4958,0,1,1,6.5,0
3,1,45.5,0,0,7.225,1,1,1,7.22,0
3,1,18.0,0,0,8.05,0,1,1,8.05,1
3,0,2.0,0,1,10.4625,0,2,0,5.23,0
3,1,32.0,1,0,15.85,0,2,0,7.92,0
3,1,26.0,0,0,18.7875,1,1,1,18.79,1
3,0,16.0,0,0,7.75,2,1,1,7.75,1
1,1,40.0,0,0,31.0,1,1,1,31.0,1
3,1,24.0,0,0,7.05,0,1,1,7.05,0
2,0,35.0,0,0,21.0,0,1,1,21.0,1
3,1,22.0,0,0,7.25,0,1,1,7.25,0
2,1,30.0,0,0,13.0,0,1,1,13.0,0
3,1,28.0,1,0,7.75,2,2,0,3.88,0
1,0,31.0,1,0,113.275,1,2,0,56.64,1
3,0,27.0,0,0,7.925,0,1,1,7.92,1
2,1,42.0,1,0,27.0,0,2,0,13.5,0
1,0,32.0,0,0,76.2917,1,1,1,76.29,1
2,1,30.0,0,0,10.5,0,1,1,10.5,0
3,1,16.0,0,0,8.05,0,1,1,8.05,1
2,1,27.0,0,0,13.0,0,1,1,13.0,0
3,1,51.0,0,0,8.05,0,1,1,8.05,0
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
1,1,38.0,1,0,90.0,0,2,0,45.0,1
3,1,22.0,0,0,9.35,0,1,1,9.35,0
2,1,19.0,0,0,10.5,0,1,1,10.5,1
3,1,20.5,0,0,7.25,0,1,1,7.25,0
2,1,18.0,0,0,13.0,0,1,1,13.0,0
3,0,28.0,3,1,25.4667,0,5,0,5.09,0
1,0,35.0,1,0,83.475,0,2,0,41.74,1
3,1,29.0,0,0,7.775,0,1,1,7.78,0
2,1,59.0,0,0,13.5,0,1,1,13.5,0
3,0,5.0,4,2,31.3875,0,7,0,4.48,1
2,1,24.0,0,0,10.5,0,1,1,10.5,0
3,0,28.0,0,0,7.55,0,1,1,7.55,0
2,1,44.0,1,0,26.0,0,2,0,13.0,0
2,0,8.0,0,2,26.25,0,3,0,8.75,1
2,1,19.0,0,0,10.5,0,1,1,10.5,0
2,1,33.0,0,0,12.275,0,1,1,12.28,0
3,0,28.0,1,0,14.4542,1,2,0,7.23,0
3,0,28.0,1,0,15.5,2,2,0,7.75,1
2,1,29.0,0,0,10.5,0,1,1,10.5,0
3,1,22.0,0,0,7.125,0,1,1,7.12,0
3,1,30.0,0,0,7.225,1,1,1,7.22,0
1,1,44.0,2,0,90.0,2,3,0,30.0,0
3,0,25.0,0,0,7.775,0,1,1,7.78,0
2,0,24.0,0,2,14.5,0,3,0,4.83,1
1,1,37.0,1,1,52.5542,0,3,0,17.52,1
2,1,54.0,1,0,26.0,0,2,0,13.0,0
3,1,28.0,0,0,7.25,0,1,1,7.25,0
3,0,29.0,1,1,10.4625,0,3,0,3.49,0
1,1,62.0,0,0,26.55,0,1,1,26.55,0
3,1,30.0,1,0,16.1,0,2,0,8.05,0
3,0,41.0,0,2,20.2125,0,3,0,6.74,0
3,0,29.0,0,2,15.2458,1,3,0,5.08,1
1,0,28.0,0,0,79.2,1,1,1,79.2,1
1,0,30.0,0,0,86.5,0,1,1,86.5,1
1,0,35.0,0,0,512.3292,1,1,1,512.33,1
2,0,50.0,0,1,26.0,0,2,0,13.0,1
3,1,28.0,0,0,7.75,2,1,1,7.75,0
3,1,3.0,4,2,31.3875,0,7,0,4.48,1
1,1,52.0,1,1,79.65,0,3,0,26.55,0
1,1,40.0,0,0,0.0,0,1,1,0.0,0
3,0,28.0,0,0,7.75,2,1,1,7.75,0
2,1,36.0,0,0,10.5,0,1,1,10.5,0
3,1,16.0,4,1,39.6875,0,6,0,6.61,0
3,1,25.0,1,0,7.775,0,2,0,3.89,1
1,0,58.0,0,1,153.4625,0,2,0,76.73,1
1,0,35.0,0,0,135.6333,0,1,1,135.63,1
1,1,28.0,0,0,31.0,0,1,1,31.0,0
3,1,25.0,0,0,0.0,0,1,1,0.0,1
2,0,41.0,0,1,19.5,0,2,0,9.75,1
1,1,37.0,0,1,29.7,1,2,0,14.85,0
3,0,28.0,0,0,7.75,2,1,1,7.75,1
1,0,63.0,1,0,77.9583,0,2,0,38.98,1
3,0,45.0,0,0,7.75,0,1,1,7.75,0
2,1,28.0,0,0,0.0,0,1,1,0.0,0
3,1,7.0,4,1,29.125,2,6,0,4.85,0
3,0,35.0,1,1,20.25,0,3,0,6.75,1
3,1,65.0,0,0,7.75,2,1,1,7.75,0
3,1,28.0,0,0,7.8542,0,1,1,7.85,0
3,1,16.0,0,0,9.5,0,1,1,9.5,0
3,1,19.0,0,0,8.05,0,1,1,8.05,1
1,1,28.0,0,0,26.0,0,1,1,26.0,0
3,1,33.0,0,0,8.6625,1,1,1,8.66,0
3,1,30.0,0,0,9.5,0,1,1,9.5,1
3,1,22.0,0,0,7.8958,0,1,1,7.9,0
2,1,42.0,0,0,13.0,0,1,1,13.0,1
3,0,22.0,0,0,7.75,2,1,1,7.75,1
1,0,26.0,0,0,78.85,0,1,1,78.85,1
1,0,19.0,1,0,91.0792,1,2,0,45.54,1
2,1,36.0,0,0,12.875,1,1,1,12.88,0
3,0,24.0,0,0,8.85,0,1,1,8.85,0
3,1,24.0,0,0,7.8958,0,1,1,7.9,0
1,1,28.0,0,0,27.7208,1,1,1,27.72,0
3,1,23.5,0,0,7.2292,1,1,1,7.23,0
1,0,2.0,1,2,151.55,0,4,0,37.89,0
1,1,28.0,0,0,30.5,0,1,1,30.5,1
1,0,50.0,0,1,247.5208,1,2,0,123.76,1
3,0,28.0,0,0,7.75,2,1,1,7.75,1
3,1,28.0,2,0,23.25,2,3,0,7.75,1
3,1,19.0,0,0,0.0,0,1,1,0.0,0
2,0,28.0,0,0,12.35,2,1,1,12.35,1
3,1,28.0,0,0,8.05,0,1,1,8.05,0
1,1,0.92,1,2,151.55,0,4,0,37.89,1
1,0,28.0,0,0,110.8833,1,1,1,110.88,1
1,0,17.0,1,0,108.9,1,2,0,54.45,1
2,1,30.0,1,0,24.0,1,2,0,12.0,0
1,0,30.0,0,0,56.9292,1,1,1,56.93,1
1,0,24.0,0,0,83.1583,1,1,1,83.16,1
1,0,18.0,2,2,262.375,1,5,0,52.48,1
2,0,26.0,1,1,26.0,0,3,0,8.67,0
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
2,1,43.0,1,1,26.25,0,3,0,8.75,0
3,0,26.0,0,0,7.8542,0,1,1,7.85,1
2,0,24.0,1,0,26.0,0,2,0,13.0,1
2,1,54.0,0,0,14.0,0,1,1,14.0,0
1,0,31.0,0,2,164.8667,0,3,0,54.96,1
1,0,40.0,1,1,134.5,1,3,0,44.83,1
3,1,22.0,0,0,7.25,0,1,1,7.25,0
3,1,27.0,0,0,7.8958,0,1,1,7.9,0
2,0,30.0,0,0,12.35,2,1,1,12.35,1
2,0,22.0,1,1,29.0,0,3,0,9.67,1
3,1,28.0,8,2,69.55,0,11,0,6.32,0
1,0,36.0,0,0,135.6333,1,1,1,135.63,1
3,1,61.0,0,0,6.2375,0,1,1,6.24,0
2,0,36.0,0,0,13.0,0,1,1,13.0,1
3,0,31.0,1,1,20.525,0,3,0,6.84,1
1,0,16.0,0,1,57.9792,1,2,0,28.99,1
3,0,28.0,2,0,23.25,2,3,0,7.75,1
1,1,45.5,0,0,28.5,0,1,1,28.5,0
1,1,38.0,0,1,153.4625,0,2,0,76.73,0
3,1,16.0,2,0,18.0,0,3,0,6.0,0
1,0,28.0,1,0,133.65,0,2,0,66.82,1
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
1,1,29.0,1,0,66.6,0,2,0,33.3,0
1,0,41.0,0,0,134.5,1,1,1,134.5,1
3,1,45.0,0,0,8.05,0,1,1,8.05,1
1,1,45.0,0,0,35.5,0,1,1,35.5,0
2,1,2.0,1,1,26.0,0,3,0,8.67,1
1,0,24.0,3,2,263.0,0,6,0,43.83,1
2,1,28.0,0,0,13.0,0,1,1,13.0,0
2,1,25.0,0,0,13.0,0,1,1,13.0,0
2,1,36.0,0,0,13.0,0,1,1,13.0,0
2,0,24.0,0,0,13.0,0,1,1,13.0,1
2,0,40.0,0,0,13.0,0,1,1,13.0,1
3,0,28.0,1,0,16.1,0,2,0,8.05,1
3,1,3.0,1,1,15.9,0,3,0,5.3,1
3,1,42.0,0,0,8.6625,0,1,1,8.66,0
3,1,23.0,0,0,9.225,0,1,1,9.22,0
1,1,28.0,0,0,35.0,0,1,1,35.0,0
3,1,15.0,1,1,7.2292,1,3,0,2.41,0
3,1,25.0,1,0,17.8,0,2,0,8.9,0
3,1,28.0,0,0,7.225,1,1,1,7.22,0
3,1,28.0,0,0,9.5,0,1,1,9.5,0
1,0,22.0,0,1,55.0,0,2,0,27.5,1
2,0,38.0,0,0,13.0,0,1,1,13.0,0
3,0,28.0,0,0,7.8792,2,1,1,7.88,1
3,0,28.0,0,0,7.8792,2,1,1,7.88,1
3,1,40.0,1,4,27.9,0,6,0,4.65,0
2,1,29.0,1,0,27.7208,1,2,0,13.86,0
3,0,45.0,0,1,14.4542,1,2,0,7.23,0
3,1,35.0,0,0,7.05,0,1,1,7.05,0
3,1,28.0,1,0,15.5,2,2,0,7.75,0
3,1,30.0,0,0,7.25,0,1,1,7.25,0
1,0,60.0,1,0,75.25,1,2,0,37.62,1
3,0,28.0,0,0,7.2292,1,1,1,7.23,1
3,0,28.0,0,0,7.75,2,1,1,7.75,1
1,0,24.0,0,0,69.3,1,1,1,69.3,1
1,1,25.0,1,0,55.4417,1,2,0,27.72,1
3,1,18.0,1,0,6.4958,0,2,0,3.25,0
3,1,19.0,0,0,8.05,0,1,1,8.05,0
1,1,22.0,0,0,135.6333,1,1,1,135.63,0
3,0,3.0,3,1,21.075,0,5,0,4.22,0
1,0,28.0,1,0,82.1708,1,2,0,41.09,1
3,0,22.0,0,0,7.25,0,1,1,7.25,1
1,1,27.0,0,2,211.5,1,3,0,70.5,0
3,1,20.0,0,0,4.0125,1,1,1,4.01,0
3,1,19.0,0,0,7.775,0,1,1,7.78,0
1,0,42.0,0,0,227.525,1,1,1,227.52,1
3,0,1.0,0,2,15.7417,1,3,0,5.25,1
3,1,32.0,0,0,7.925,0,1,1,7.92,0
1,0,35.0,1,0,52.0,0,2,0,26.0,1
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
2,1,18.0,0,0,73.5,0,1,1,73.5,0
3,1,1.0,5,2,46.9,0,8,0,5.86,0
2,0,36.0,0,0,13.0,0,1,1,13.0,1
3,1,28.0,0,0,7.7292,2,1,1,7.73,0
2,0,17.0,0,0,12.0,1,1,1,12.0,1
1,1,36.0,1,2,120.0,0,4,0,30.0,1
3,1,21.0,0,0,7.7958,0,1,1,7.8,1
3,1,28.0,2,0,7.925,0,3,0,2.64,0
1,0,23.0,1,0,113.275,1,2,0,56.64,1
3,0,24.0,0,2,16.7,0,3,0,5.57,1
3,1,22.0,0,0,7.7958,0,1,1,7.8,0
3,0,31.0,0,0,7.8542,0,1,1,7.85,0
2,1,46.0,0,0,26.0,0,1,1,26.0,0
2,1,23.0,0,0,10.5,0,1,1,10.5,0
2,0,28.0,0,0,12.65,0,1,1,12.65,1
3,1,39.0,0,0,7.925,0,1,1,7.92,1
3,1,26.0,0,0,8.05,0,1,1,8.05,0
3,0,21.0,1,0,9.825,0,2,0,4.91,0
3,1,28.0,1,0,15.85,0,2,0,7.92,0
3,0,20.0,0,0,8.6625,0,1,1,8.66,0
2,1,34.0,1,0,21.0,0,2,0,10.5,0
3,1,51.0,0,0,7.75,0,1,1,7.75,0
2,1,3.0,1,1,18.75,0,3,0,6.25,1
3,1,21.0,0,0,7.775,0,1,1,7.78,0
3,0,28.0,3,1,25.4667,0,5,0,5.09,0
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
3,1,28.0,0,0,6.8583,2,1,1,6.86,0
1,0,33.0,1,0,90.0,2,2,0,45.0,1
2,1,28.0,0,0,0.0,0,1,1,0.0,0
3,1,44.0,0,0,7.925,0,1,1,7.92,1
3,0,28.0,0,0,8.05,0,1,1,8.05,0
2,0,34.0,1,1,32.5,0,3,0,10.83,1
2,0,18.0,0,2,13.0,0,3,0,4.33,1
2,1,30.0,0,0,13.0,0,1,1,13.0,0
3,0,10.0,0,2,24.15,0,3,0,8.05,0
3,1,28.0,0,0,7.8958,1,1,1,7.9,0
3,1,21.0,0,0,7.7333,2,1,1,7.73,0
3,1,29.0,0,0,7.875,0,1,1,7.88,0
3,0,28.0,1,1,14.4,0,3,0,4.8,0
3,1,18.0,1,1,20.2125,0,3,0,6.74,0
3,1,28.0,0,0,7.25,0,1,1,7.25,0
2,0,28.0,1,0,26.0,0,2,0,13.0,1
2,0,19.0,0,0,26.0,0,1,1,26.0,1
3,1,28.0,0,0,7.75,2,1,1,7.75,0
3,1,32.0,0,0,8.05,0,1,1,8.05,1
1,1,28.0,0,0,26.55,0,1,1,26.55,1
3,0,28.0,1,0,16.1,0,2,0,8.05,1
2,0,42.0,1,0,26.0,0,2,0,13.0,1
3,1,17.0,0,0,7.125,0,1,1,7.12,0
1,1,50.0,1,0,55.9,0,2,0,27.95,0
1,0,14.0,1,2,120.0,0,4,0,30.0,1
3,0,21.0,2,2,34.375,0,5,0,6.88,0
2,0,24.0,2,3,18.75,0,6,0,3.12,1
1,1,64.0,1,4,263.0,0,6,0,43.83,0
2,1,31.0,0,0,10.5,0,1,1,10.5,0
2,0,45.0,1,1,26.25,0,3,0,8.75,1
3,1,20.0,0,0,9.5,0,1,1,9.5,0
3,1,25.0,1,0,7.775,0,2,0,3.89,0
2,0,28.0,0,0,13.0,0,1,1,13.0,1
3,1,28.0,0,0,8.1125,0,1,1,8.11,1
1,1,4.0,0,2,81.8583,0,3,0,27.29,1
2,0,13.0,0,1,19.5,0,2,0,9.75,1
1,1,34.0,0,0,26.55,0,1,1,26.55,1
3,0,5.0,2,1,19.2583,1,4,0,4.81,1
1,1,52.0,0,0,30.5,0,1,1,30.5,1
2,1,36.0,1,2,27.75,0,4,0,6.94,0
3,1,28.0,1,0,19.9667,0,2,0,9.98,0
1,1,30.0,0,0,27.75,1,1,1,27.75,0
1,1,49.0,1,0,89.1042,1,2,0,44.55,1
3,1,28.0,0,0,8.05,0,1,1,8.05,0
3,1,29.0,0,0,7.8958,1,1,1,7.9,1
1,1,65.0,0,0,26.55,0,1,1,26.55,0
1,0,28.0,1,0,51.8625,0,2,0,25.93,1
2,0,50.0,0,0,10.5,0,1,1,10.5,1
3,1,28.0,0,0,7.75,2,1,1,7.75,0
1,1,48.0,0,0,26.55,0,1,1,26.55,1
3,1,34.0,0,0,8.05,0,1,1,8.05,0
1,1,47.0,0,0,38.5,0,1,1,38.5,0
2,1,48.0,0,0,13.0,0,1,1,13.0,0
3,1,28.0,0,0,8.05,0,1,1,8.05,0
3,1,38.0,0,0,7.05,0,1,1,7.05,0
2,1,28.0,0,0,0.0,0,1,1,0.0,0
1,1,56.0,0,0,26.55,0,1,1,26.55,0
3,1,28.0,0,0,7.725,2,1,1,7.72,0
3,0,0.75,2,1,19.2583,1,4,0,4.81,1
3,1,28.0,0,0,7.25,0,1,1,7.25,0
3,1,38.0,0,0,8.6625,0,1,1,8.66,0
2,0,33.0,1,2,27.75,0,4,0,6.94,1
2,0,23.0,0,0,13.7917,1,1,1,13.79,1
3,0,22.0,0,0,9.8375,0,1,1,9.84,0
1,1,28.0,0,0,52.0,0,1,1,52.0,0
2,1,34.0,1,0,21.0,0,2,0,10.5,0
3,1,29.0,1,0,7.0458,0,2,0,3.52,0
3,1,22.0,0,0,7.5208,0,1,1,7.52,0
3,0,2.0,0,1,12.2875,0,2,0,6.14,1
3,1,9.0,5,2,46.9,0,8,0,5.86,0
2,1,28.0,0,0,0.0,0,1,1,0.0,0
3,1,50.0,0,0,8.05,0,1,1,8.05,0
3,0,63.0,0,0,9.5875,0,1,1,9.59,1
1,1,25.0,1,0,91.0792,1,2,0,45.54,1
3,0,28.0,3,1,25.4667,0,5,0,5.09,0
1,0,35.0,1,0,90.0,0,2,0,45.0,1
1,1,58.0,0,0,29.7,1,1,1,29.7,0
3,1,30.0,0,0,8.05,0,1,1,8.05,0
3,1,9.0,1,1,15.9,0,3,0,5.3,1
